"Health Issues","Home Remedy(Age 20-59yrs)","high BP","low BP","diabetes (sugar)","Remedy for Teen(Age 13-19yrs)","Remedy for Senior Adults(Age 60+yrs)","Remedy for Childs(Age 5-12yrs)","Remedy for Toddlers(Age 2-4yrs)","Remedy for Infant(Age 0-1yrs)","High BP and Diabets","Low BP and Diabets"
"Body Pain","Boil 3 tablespoon powdered nutmeg (jaiphal) in 1 cup sesame oil (til ka tel). Cool and apply on affected parts.","Use in moderation. A small external application is likely fine, but monitor closely if the patient has very high blood pressure.","Suitable for low BP patients since there are no known blood pressure-lowering effects","Suitable for use in diabetic patients","Boil 1.5 tablespoons powdered nutmeg in 1/2 cup sesame oil. Cool and apply on affected parts. ","Boil 2 tablespoons powdered nutmeg in 1 cup sesame oil. Cool and apply on affected parts.","Walking and swimming. This may be especially beneficial for reducing back and knee pain. Doing arm exercises and shoulder rolls. These exercises can be helpful for calming down shoulder pain. Alternating ice and heat therapy. This may get quick results for join pain. Taking a hot bath. This can quickly alleviate back pain.","A gentle massage with a small amount of coconut or olive oil can relax muscles and reduce pain. Focus on their legs, arms, or back, depending on where the pain is. Massaging before bedtime may also help them sleep better.","Consult the Doctor","Consult the Doctor","Consult the Doctor"
"Fever","Extract 1 teaspoon each juice of tulsi leaves and bel flowers. Add 1 teaspoon honey. Take twice a day. Tea made by boiling 1 teaspoon fenugreek seeds (methi dana), taken twice or thrice a day provides excellent remedy. (A little honey or lemon juice can be added to improve the flavor). Grind a few roots of the mango tree into a fine paste and apply on the palm and soles of the patients. Neem leaf decoction taken with pepper powder lowers temperature. ½ teaspoon ground pepper is mixed in warm water along with 1 teaspoon palm candy (sugar obtained from palm). This drink is taken at bedtime.","Suitable with caution for honey and palm candy (optional or reduced quantity)","Use with caution for fenugreek tea and neem decoction","Avoid honey and palm candy; otherwise, suitable","Extract 0.5 teaspoon each juice of tulsi leaves and bel flowers. Add 0.5 teaspoon honey. Take twice a day. Tea made by boiling 0.5 teaspoon fenugreek seeds, taken twice a day provides an excellent remedy. Grind a few roots of the mango tree into a fine paste and apply on the palm and soles of the patients. ","Extract 1 teaspoon each juice of tulsi leaves and bel flowers. Add 1 teaspoon honey. Take twice a day. Tea made by boiling 1 teaspoon fenugreek seeds, taken twice or thrice a day provides an excellent remedy. Grind a few roots of the mango tree into a fine paste and apply on the palm and soles of the patients.","Children are unlikely to appreciate bathing when they are sick. An alternative option is to place a warm washcloth on the child’s forehead to help soothe the fever. Like adults, children with a fever also need plenty of fluids. However, it can be difficult to get young children to drink extra water.","Dress your toddler in light, breathable clothing and keep the room at a comfortable temperature. Overdressing or bundling can raise body temperature, so keep them cool with light layers. Use a lukewarm sponge or washcloth to gently wipe your toddler’s body. Avoid cold water, as it can cause shivering, which may raise body temperature. Repeat every few hours if needed.","Consult the Doctor","Consult the Doctor","Consult the Doctor"
"Headache","Roast some ajwain dry on a tawa. Tie it in a muslin bag and sniff frequently. Make a paste of 2-3 powdered cloves (laung) and salt. Apply this paste on the forehead. A paste made of dry ginger (sonth) with a little water or milk when applied to the forehead also gives relief. A ripe apple, after removing the upper rind and the inner hard portion should be taken with a little salt every morning on an empty stomach. Continue for a week. This yields good results even in case of chronic headaches.","Suitable with minimal salt for apple remedy and use caution for clove paste in sensitive individuals.","Suitable","Suitable in general, but limit apple quantity due to natural sugars","Roast some ajwain dry on a tawa. Tie it in a muslin bag and sniff frequently. Make a paste of 1 powdered clove and salt. Apply this paste on the forehead. A paste made of dry ginger with a little water or milk when applied to the forehead also gives relief. A ripe apple, after removing the upper rind and the inner hard portion should be taken with a little salt every morning on an empty stomach. Continue for a week. ","Roast some ajwain dry on a tawa. Tie it in a muslin bag and sniff frequently. Make a paste of 2-3 powdered cloves and salt. Apply this paste on the forehead. A paste made of dry ginger with a little water or milk when applied to the forehead also gives relief. A ripe apple, after removing the upper rind and the inner hard portion should be taken with a little salt every morning on an empty stomach. Continue for a week.","Get out of the heat. Apply a cool, damp cloth or wrapped ice pack on your child’s forehead. Gently massage the neck and shoulders. Avoid screens such as TVs, tablets or cell phones. Always have the screen dimmed.","Avoid sweets","Consult the Doctor","Consult the Doctor","Consult the Doctor"
"Cold/Cough","2-5 gm powder of dry rhizome with jaggery thrice a day in divided doses. 10 ml decoction prepared from a piece of ginger every morning prevents recurrent attacks of cold.","Limit jaggery intake or replace it with a less sugary alternative","SafeUse ginger decoction with caution to avoid lowering BP further","Avoid jaggery, or substitute with a diabetic-safe sweetener; ginger decoction is suitable.","1-2 gm powder of dry rhizome with jaggery twice a day in divided doses. 5 ml decoction prepared from a piece of ginger every morning prevents recurrent attacks of cold. ","2-5 gm powder of dry rhizome with jaggery thrice a day in divided doses. 10 ml decoction prepared from a piece of ginger every morning prevents recurrent attacks of cold.","Let your child breathe in water vapors from a warm bath or shower. This can help loosen mucus and, as a bonus, calm your child before bed. A teaspoon of honey can help combat coughing and soothe your childs throat. Drinking warm liquids such as caffeine-free tea, broth or hot water with lemon can help relieve a cough by loosening up mucus and soothing a sore throat.","Honey has natural soothing and mild antibacterial properties. Give ½ to 1 teaspoon of honey as needed to coat the throat and reduce coughing. Sit with your toddler in a steamy bathroom (run a hot shower with the door closed) for about 10–15 minutes. The steam can loosen mucus and ease coughing by keeping the airways moist.","Consult the Doctor","Consult the Doctor","Consult the Doctor"
"Acidity","Take a tiny piece of jaggery (gur) every hour. Just keep it in the mouth and slowly suck it till acidity subsides. Drink coconut water 3-4 times a day. Have a plateful of watermelon (tarbooz) and/or cucumber (kheera) every hour. Harad juice, 1-2 teaspoon daily after meals is very effective in controlling acidity.","Reduce or avoid jaggery, as frequent sugar intake can raise blood pressure. The other remedies are safe","Safe","Avoid or minimize jaggery due to high sugar content; the other remedies are suitable","Take a small piece of jaggery every hour. Drink coconut water 2-3 times a day. Have a plateful of watermelon and/or cucumber every hour. Harad juice, 0.5-1 teaspoon daily after meals is effective in controlling acidity. ","Take a tiny piece of jaggery every hour. Drink coconut water 3-4 times a day. Have a plateful of watermelon and/or cucumber every hour. Harad juice, 1-2 teaspoons daily after meals is very effective in controlling acidity.","Banana can help with acidity issues in children. Crush a tiny amount of carom seeds and mix it with warm water. Offer a small sip to your children.","Banana can help with acidity issues in children. Crush a tiny amount of carom seeds and mix it with warm water. Offer a small sip to your children. Fiber is an important part of a balanced diet. It can help a person feel full and aid digestion, easing the symptoms of acid reflux.","Consult the Doctor","Consult the Doctor","Consult the Doctor"
"Anaemia","Avoid drinking tea and coffee immediately after meals as the tannin present in these interferes in the absorption of iron from the food. Take freshly prepared apple juice an hour before meals or just before retiring for the night. For proper absorption of the juice, remember the stomach should be relatively empty when you have the juice and also do not take anything for about half an hour after the juice. Juice of beetroot taken 1-2 times daily is an excellent remedy for anaemia especially for children and teenagers. Combine apple and beetroot for the juice.","Suitable, though moderation with beetroot juice is recommended as it may slightly lower blood pressure","Safe, but use beetroot in moderation due to its potential to further lower blood pressure.","Suitable with caution—limit apple and beetroot juice intake to control natural sugar levels.","Avoid drinking tea and coffee immediately after meals. Take freshly prepared apple juice before meals or before sleeping. Juice of beetroot taken 1 time daily is an excellent remedy for anaemia. Combine apple and beetroot for the juice. ","Avoid drinking tea and coffee immediately after meals. Take freshly prepared apple juice an hour before meals. Juice of beetroot taken 1-2 times daily is an excellent remedy for anaemia. Combine apple and beetroot for the juice.","eating an adequate amount of green vegetables, such as celery, spinach and broccoli. These vegetables are a great source of iron. A great way to increase the iron intake of your child is black sesame seeds. Soak the seeds in water for two to three hours and grind it into a paste. You can give your child a spoonful of this paste every day, along with honey.","Infants and toddlers from 1 to 3 years old should have foods rich in iron. They include cereal that has iron added, red meats, and vegetables with iron. Fruits with vitamin C are also important. Vitamin C helps the body absorb the iron.","Consult the Doctor","Consult the Doctor","Consult the Doctor"
"Chest Congestion","Add to ½ litre of boiling water, 1 teaspoon carom seeds (ajwain) powder along with 1 teaspoon turmeric (haldi) powder. Cool. Take 1 tablespoon of this mixture along with 1 teaspoon honey.","Suitable, though limit honey due to sugar content","Safe","Limit or avoid honey due to its high glycemic index; otherwise suitable.","Add to 250 ml of boiling water, 0.5 teaspoon carom seeds powder along with 0.5 teaspoon turmeric powder. Cool. Take 1 tablespoon of this mixture along with 0.5 teaspoon honey. ","Add to ½ litre of boiling water, 1 teaspoon carom seeds powder along with 1 teaspoon turmeric powder. Cool. Take 1 tablespoon of this mixture along with 1 teaspoon honey.","Use heat on their chest. If your child’s cough hurts, put a warm compress on their chest. Add some humidity. A steamy bath or shower may help your child’s breathing. Adding a cool mist humidifier in their room overnight can also help. Increase fluids. If you give your child extra fluids, it can help soothe a sore throat and make the mucus in your child’s lungs easier to cough up. Try warm lemonade, soup, and warm water with lemon and honey. Use heat on their chest. If your child’s cough hurts, put a warm compress on their chest. Add some humidity. A steamy bath or shower may help your child’s breathing. Adding a cool mist humidifier in their room overnight can also help.","For toddlers who have yet to learn how to blow their noses, a bulb syringe can help clear the nasal passages. A bulb syringe, or nasal aspirator, has a blunt tip attached to a flexible bulb. Pair it with saline, or saltwater, drops for maximum effectiveness. These are available over the counter, or can be made at home by mixing a 1/2 teaspoon of salt with 8 ounces of warm water. Make a fresh batch each day","Consult the Doctor","Consult the Doctor","Consult the Doctor"
"High Cholesterol","Finely dice an onion and mix it with 1 cup buttermilk along with ¼ teaspoon black pepper (kali mirch) powder and drink. Regularly intake garlic (lasan) cloves for a few days.","Suitable; both onion and garlic can help manage blood pressure","Safe","Suitable; both onion and garlic can also help regulate blood sugar.","Finely dice half an onion and mix it with 1/2 cup buttermilk along with 1/8 teaspoon black pepper powder and drink. Regularly intake garlic cloves for a few days. ","Finely dice an onion and mix it with 1 cup buttermilk along with ¼ teaspoon black pepper powder and drink. Regularly intake garlic cloves for a few days.","Fruits, vegetables, breads, and cereals make great snacks for children. Children should avoid soda and fruit drinks. Use skim or low-fat milk rather than whole or 2 percent milk.","Consider replacing whole milk with low-fat or non-dairy alternatives as advised by a pediatrician.","Consult the Doctor","Consult the Doctor","Consult the Doctor"
"Dehydration","Add ¼ teaspoon salt, 3 teaspoon brown sugar or ordinary sugar and 2 teaspoon lime juice to 1 cup of water, mix well and drink.","Use caution with salt intake; otherwise, suitable if monitored.","Safe","Limit sugar content; consider reducing or substituting with a low-glycemic sweetener","Add 1/8 teaspoon salt, 2 teaspoons brown sugar and 1 teaspoon lime juice to 1/2 cup of water, mix well and drink. ","Add ¼ teaspoon salt, 3 teaspoon brown sugar or ordinary sugar and 2 teaspoon lime juice to 1 cup of water, mix well and drink.","Mix 1 liter of clean water with 6 teaspoons of sugar and ½ teaspoon of salt. Stir well until dissolved. Offer small amounts every few minutes.","You can also let them eat their water. If your baby or toddler is fussy about drinking water or milk, give them juicy fruit and vegetables like watermelon, plums, or cucumbers.","Consult the Doctor","Consult the Doctor","Consult the Doctor"
"Diabetes","For diabetes, diet restriction & light exercise like walking is a must as this controls the sugar level. Grape fruit is a splendid thing in the diet of a diabetic. Have 3 fruits at a time, 3 times daily.","Suitable, as diet restrictions and light exercise benefit overall health.","Safe, but monitor overall fruit intake to avoid blood sugar spikes.","Generally suitable; grapefruit can help regulate blood sugar levels, but monitor portion sizes to avoid excess sugars.","For diabetes, diet restriction & light exercise like walking is important. Grapefruit is a splendid thing in the diet of a diabetic. Have 2 fruits at a time, 2-3 times daily. ","For diabetes, diet restriction & light exercise like walking is a must as this controls the sugar level. Grapefruit is a splendid thing in the diet of a diabetic. Have 3 fruits at a time, 3 times daily.","Fenugreek Water: Soak a few fenugreek seeds in water overnight; give them a few sips of the water in the morning. Nuts as Snacks: A small serving of almonds or walnuts (if no allergies) can help with blood sugar control","High-Fiber Veggies: Offer pureed or soft vegetables like carrots, peas, and spinach to help regulate blood sugar. Portion Control: Serve smaller, more frequent meals to help stabilize blood sugar levels.","Consult the Doctor","Consult the Doctor","Consult the Doctor"
